"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Seattle Seahawks (SEA)","12","7","0","0","0","0","2","4","49.0","12.3","66.8%"
"2","Jacksonville Jaguars (JAC)","7","9","4","5","0","0","1","4","46.0","11.5","4.9%"
"3","Minnesota Vikings (MIN)","11","2","5","8","2","0","0","4","44.0","11.0","89.1%"
"4","Philadelphia Eagles (PHI)","5","3","2","4","0","0","2","4","35.0","8.8","84.3%"
"5","Detroit Lions (DET)","14","3","3","4","0","0","1","4","35.0","8.8","83.6%"
"6","Indianapolis Colts (IND)","10","4","2","2","1","0","0","4","34.0","8.5","27.1%"
"7","New England Patriots (NE)","10","3","0","2","0","0","2","4","33.0","8.3","46.3%"
"8","Pittsburgh Steelers (PIT)","14","5","5","6","0","0","0","4","33.0","8.3","90.9%"
"9","Denver Broncos (DEN)","15","1","3","3","0","0","0","4","33.0","8.3","96.3%"
"10","Los Angeles Rams (LAR)","14","3","3","4","0","0","0","4","32.0","8.0","25.2%"
"11","Houston Texans (HOU)","11","2","1","2","0","0","0","4","32.0","8.0","81.5%"
"12","Arizona Cardinals (ARI)","8","2","2","2","1","1","0","4","29.0","7.3","27.4%"
"13","Atlanta Falcons (ATL)","10","3","3","3","0","0","0","4","29.0","7.3","11.4%"
"14","Chicago Bears (CHI)","5","7","2","2","1","0","0","4","28.0","7.0","6.1%"
"15","Kansas City Chiefs (KC)","10","3","1","1","0","0","0","4","26.0","6.5","32.8%"
"16","Los Angeles Chargers (LAC)","13","3","0","1","0","0","0","4","24.0","6.0","46.2%"
"17","Tampa Bay Buccaneers (TB)","10","1","1","2","1","1","0","4","24.0","6.0","21.3%"
"18","Washington Commanders (WAS)","10","1","0","2","0","0","1","4","24.0","6.0","24.7%"
"19","Carolina Panthers (CAR)","2","4","1","1","1","0","0","4","24.0","6.0","2.4%"
"20","Green Bay Packers (GB)","11","2","0","0","0","0","0","4","20.0","5.0","82.4%"
"21","San Francisco 49ers (SF)","5","0","3","6","0","0","0","4","19.0","4.8","37.5%"
"22","Buffalo Bills (BUF)","9","2","2","6","0","0","0","4","18.0","4.5","86.3%"
"23","Las Vegas Raiders (LV)","8","2","2","3","0","0","0","4","17.0","4.3","1.4%"
"24","Cleveland Browns (CLE)","11","2","0","2","0","0","0","4","17.0","4.3","5.0%"
"25","Miami Dolphins (MIA)","8","0","3","2","0","0","1","4","17.0","4.3","4.2%"
"26","New Orleans Saints (NO)","11","1","2","2","0","0","0","4","15.0","3.8","0.9%"
"27","New York Giants (NYG)","10","3","0","2","0","0","0","4","13.0","3.3","6.3%"
"28","New York Jets (NYJ)","6","0","0","4","0","0","1","4","12.0","3.0","11.6%"
"29","Cincinnati Bengals (CIN)","6","5","0","1","0","0","0","4","12.0","3.0","4.9%"
"30","Tennessee Titans (TEN)","4","3","2","1","0","0","0","4","12.0","3.0","0.9%"
"31","Baltimore Ravens (BAL)","4","1","1","2","1","0","0","4","5.0","1.3","82.0%"
"32","Dallas Cowboys (DAL)","5","1","1","1","0","0","0","4","2.0","0.5","5.2%"
""
""
