"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","85","121","70.2","964","8.0","7","1","7","31","159","3","0","4","99.5","24.9","99.8%"
"2","Lamar Jackson (BAL)","68","95","71.6","869","9.1","10","1","15","21","166","1","1","4","94.4","23.6","99.8%"
"3","Patrick Mahomes II (KC)","87","142","61.3","939","6.6","7","1","7","22","130","2","0","4","89.6","22.4","98.9%"
"4","Drake Maye (NE)","91","123","74.0","988","8.0","7","2","13","24","98","2","1","4","85.5","21.4","82.9%"
"5","Jalen Hurts (PHI)","70","101","69.3","609","6.0","5","0","9","41","179","4","1","4","84.2","21.1","99.7%"
"6","Caleb Williams (CHI)","81","130","62.3","927","7.1","8","2","7","24","110","1","0","4","84.1","21.0","87.0%"
"7","Daniel Jones (IND)","87","121","71.9","1,078","8.9","4","2","4","18","54","3","0","4","80.5","20.1","57.7%"
"8","Baker Mayfield (TB)","83","139","59.7","904","6.5","8","1","8","14","129","0","0","4","80.1","20.0","97.0%"
"9","Justin Herbert (LAC)","95","149","63.8","1,063","7.1","7","3","12","19","93","0","1","4","76.8","19.2","93.0%"
"10","Dak Prescott (DAL)","121","166","72.9","1,119","6.7","6","3","6","5","22","1","0","4","75.9","19.0","84.8%"
"11","Jordan Love (GB)","84","121","69.4","1,000","8.3","8","1","8","13","62","0","1","4","75.2","18.8","79.0%"
"12","Matthew Stafford (LAR)","92","136","67.6","1,114","8.2","8","2","8","10","-4","0","0","4","74.1","18.5","41.1%"
"13","Jared Goff (DET)","90","122","73.8","929","7.6","9","2","4","6","11","0","0","4","72.3","18.1","86.1%"
"14","Bo Nix (DEN)","90","137","65.7","861","6.3","7","4","3","25","78","1","1","4","70.1","17.5","90.8%"
"15","Kyler Murray (ARI)","87","130","66.9","742","5.7","6","3","13","25","148","0","0","4","65.5","16.4","89.8%"
"16","Aaron Rodgers (PIT)","74","108","68.5","786","7.3","8","3","9","9","11","0","0","4","63.6","15.9","24.0%"
"17","Geno Smith (LV)","81","127","63.8","948","7.5","6","7","12","13","66","0","0","4","63.6","15.9","40.1%"
"18","Justin Fields (NYJ)","39","60","65.0","471","7.9","2","0","5","24","178","3","2","3","60.6","20.2","71.4%"
"19","Spencer Rattler (NO)","98","146","67.1","765","5.2","5","1","9","16","102","0","0","4","59.8","15.0","3.9%"
