"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","50","42","503","12.0","31","8","1","3","52","1","0","4","67.5","16.9","99.8%"
"2","Amon-Ra St. Brown (DET)","32","27","307","11.4","34","4","6","2","7","0","0","4","67.4","16.9","99.8%"
"3","Rome Odunze (CHI)","35","20","296","14.8","37","5","5","0","0","0","0","4","59.6","14.9","95.1%"
"4","Quentin Johnston (LAC)","37","22","337","15.3","60","7","4","1","-2","0","0","4","57.5","14.4","60.1%"
"5","George Pickens (DAL)","33","21","300","14.3","28","6","4","0","0","0","0","4","54.0","13.5","95.5%"
"6","Emeka Egbuka (TB)","31","18","282","15.7","77","5","4","2","9","0","0","4","53.1","13.3","94.9%"
"7","Garrett Wilson (NYJ)","38","27","311","11.5","33","3","3","0","0","0","0","4","49.1","12.3","98.6%"
"8","Tre Tucker (LV)","22","15","224","14.9","61","3","4","4","20","0","0","4","48.4","12.1","63.1%"
"9","Jaxon Smith-Njigba (SEA)","34","26","402","15.5","45","8","1","3","11","0","1","4","45.3","11.3","99.4%"
"10","Davante Adams (LAR)","35","17","269","15.8","44","5","3","0","0","0","0","4","44.9","11.2","98.1%"
"11","Courtland Sutton (DEN)","27","18","266","14.8","52","5","3","0","0","0","0","4","44.6","11.2","95.0%"
"12","DK Metcalf (PIT)","22","15","261","17.4","80","3","3","0","0","0","0","4","44.1","11.0","97.4%"
"13","Deebo Samuel Sr. (WAS)","27","22","204","9.3","24","2","2","7","46","1","0","4","43.0","10.8","91.2%"
"14","Romeo Doubs (GB)","19","13","179","13.8","48","2","4","0","0","0","0","4","41.9","10.5","31.3%"
"15","Michael Pittman Jr. (IND)","29","21","234","11.1","27","2","3","0","0","0","0","4","41.4","10.4","82.0%"
"16","Keenan Allen (LAC)","35","24","231","9.6","25","2","3","0","0","0","0","4","41.1","10.3","87.0%"
"17","Malik Nabers (NYG)","35","18","271","15.1","48","5","2","0","0","0","0","4","39.1","9.8","97.9%"
"18","Justin Jefferson (MIN)","31","22","326","14.8","50","5","1","1","4","0","0","4","39.0","9.8","99.8%"
"19","Zay Flowers (BAL)","31","23","305","13.3","39","5","1","3","12","0","0","4","37.7","9.4","97.2%"
"20","Tyquan Thornton (KC)","20","10","182","18.2","49","4","3","0","0","0","0","4","36.2","9.1","15.5%"
"21","Nico Collins (HOU)","31","18","260","14.4","50","4","2","0","0","0","1","4","36.0","9.0","99.6%"
"22","Marvin Harrison Jr. (ARI)","27","16","208","13.0","45","2","2","0","0","0","0","4","32.8","8.2","96.8%"
"23","Tyreek Hill (MIA)","29","21","265","12.6","47","4","1","0","0","0","0","4","32.5","8.1","98.6%"
"24","Ricky Pearsall (SF)","29","20","327","16.4","45","6","0","1","-4","0","0","4","32.3","8.1","89.4%"
"25","Ja'Marr Chase (CIN)","35","26","264","10.2","28","4","1","1","9","0","1","4","31.3","7.8","99.6%"
"26","Khalil Shakir (BUF)","20","16","190","11.9","43","2","2","0","0","0","0","4","31.0","7.8","77.9%"
"27","Drake London (ATL)","37","24","269","11.2","43","2","1","0","0","0","1","4","30.9","7.7","99.4%"
"28","Jaylen Waddle (MIA)","23","17","185","10.9","25","2","2","0","0","0","0","4","30.5","7.6","92.2%"
"29","Wan'Dale Robinson (NYG)","27","18","237","13.2","50","5","1","0","0","0","0","4","29.7","7.4","43.0%"
"30","Tetairoa McMillan (CAR)","35","18","278","15.4","40","7","0","0","0","0","0","4","27.8","7.0","94.8%"
"31","Jameson Williams (DET)","20","10","214","21.4","64","4","1","2","0","0","0","4","27.4","6.9","93.0%"
"32","Elic Ayomanor (TEN)","25","12","151","12.6","33","2","2","0","0","0","0","4","27.1","6.8","39.0%"
"33","Marquise Brown (KC)","32","22","209","9.5","49","1","1","0","0","0","0","4","26.9","6.7","46.3%"
"34","Troy Franklin (DEN)","27","18","196","10.9","42","2","1","1","11","0","0","4","26.7","6.7","39.9%"
"35","Keon Coleman (BUF)","22","17","203","11.9","25","3","1","0","0","0","0","4","26.3","6.6","77.2%"
"36","Calvin Austin III (PIT)","17","10","139","13.9","30","3","2","0","0","0","0","4","25.9","6.5","13.5%"
"37","Jakobi Meyers (LV)","33","21","258","12.3","45","5","0","0","0","0","0","4","25.8","6.5","91.1%"
"38","Tory Horton (SEA)","10","6","74","12.3","21","1","2","0","0","0","0","4","25.4","6.4","11.7%"
"39","KaVontae Turpin (DAL)","13","11","159","14.5","37","2","1","6","23","0","0","4","24.2","6.1","14.3%"
"40","Brian Thomas Jr. (JAC)","32","12","164","13.7","46","1","0","2","16","1","0","4","24.0","6.0","99.0%"
"41","Rashid Shaheed (NO)","25","18","174","9.7","39","1","1","2","5","0","0","4","23.9","6.0","65.8%"
"42","Luke McCaffrey (WAS)","7","6","96","16.0","43","1","2","0","0","0","0","4","23.6","5.9","1.2%"
"43","Chris Olave (NO)","43","26","185","7.1","14","0","1","0","0","0","0","4","23.5","5.9","89.8%"
"44","DeAndre Hopkins (BAL)","7","5","112","22.4","41","3","2","0","0","0","0","4","23.2","5.8","14.1%"
"45","DJ Moore (CHI)","21","16","173","10.8","30","2","1","6","15","0","1","4","22.8","5.7","93.3%"
"46","Cedric Tillman (CLE)","20","11","106","9.6","25","1","2","0","0","0","0","4","22.6","5.7","36.4%"
"47","Kayshon Boutte (NE)","15","10","165","16.5","24","3","1","0","0","0","0","4","22.5","5.6","12.0%"
"48","Marvin Mims Jr. (DEN)","16","12","109","9.1","28","2","1","1","16","1","1","4","22.5","5.6","35.4%"
"49","CeeDee Lamb (DAL)","24","16","222","13.9","33","4","0","0","0","0","0","3","22.2","7.4","99.8%"
"50","DeVonta Smith (PHI)","20","17","158","9.3","28","2","1","0","0","0","0","4","21.8","5.5","94.2%"
"51","Stefon Diggs (NE)","22","19","213","11.2","33","3","0","0","0","0","0","4","21.3","5.3","79.4%"
"52","JuJu Smith-Schuster (KC)","18","14","151","10.8","27","1","1","0","0","0","0","4","21.1","5.3","4.4%"
"53","A.J. Brown (PHI)","28","14","151","10.8","38","3","1","0","0","0","0","4","21.1","5.3","99.8%"
"54","Jauan Jennings (SF)","19","9","129","14.3","42","2","1","0","0","0","0","3","20.9","7.0","80.2%"
"55","Mike Evans (TB)","27","14","140","10.0","22","1","1","0","0","0","0","3","20.0","6.7","97.2%"
"56","Tee Higgins (CIN)","20","10","136","13.6","42","1","1","0","0","0","0","4","19.6","4.9","98.1%"
"57","Hunter Renfrow (CAR)","21","13","75","5.8","15","0","2","0","0","0","0","4","19.5","4.9","3.3%"
"58","Dyami Brown (JAC)","14","10","116","11.6","23","1","1","3","15","0","0","3","19.1","6.4","5.8%"
"59","Jerry Jeudy (CLE)","30","13","182","14.0","33","3","0","0","0","0","0","4","18.2","4.6","88.2%"
"60","Devontez Walker (BAL)","3","3","60","20.0","34","2","2","0","0","0","0","3","18.0","6.0","0.7%"
"61","Jalen Nailor (MIN)","17","8","98","12.3","28","2","1","0","0","0","0","4","17.8","4.5","2.2%"
"62","Ladd McConkey (LAC)","27","16","174","10.9","23","1","0","0","0","0","0","4","17.4","4.4","98.4%"
"63","Sterling Shepard (TB)","19","13","167","12.8","24","3","0","1","6","0","0","4","17.3","4.3","3.6%"
"64","Rashod Bateman (BAL)","17","10","112","11.2","24","2","1","0","0","0","0","4","17.2","4.3","30.4%"
"65","Alec Pierce (IND)","13","9","171","19.0","44","2","0","0","0","0","0","3","17.1","5.7","5.9%"
"66","Parker Washington (JAC)","18","9","110","12.2","40","2","0","1","-1","0","0","4","16.9","4.2","1.0%"
"67","Malik Washington (MIA)","15","8","47","5.9","11","0","0","8","60","0","0","4","16.7","4.2","3.4%"
"68","Luther Burden III (CHI)","8","7","99","14.1","65","2","1","1","7","0","0","4","16.6","4.2","19.7%"
"69","Mack Hollins (NE)","9","7","42","6.0","11","0","2","0","0","0","0","4","16.2","4.1","0.9%"
"70","Cooper Kupp (SEA)","20","15","162","10.8","23","1","0","0","0","0","0","4","16.2","4.1","80.7%"
"71","Matthew Golden (GB)","14","11","126","11.5","46","2","0","6","29","0","0","4","15.5","3.9","80.1%"
"72","Tutu Atwell (LAR)","5","2","92","46.0","88","1","1","0","0","0","0","4","15.2","3.8","1.7%"
"73","Elijah Moore (BUF)","5","4","64","16.0","31","2","0","5","25","1","0","4","14.9","3.7","0.7%"
"74","Jayden Higgins (HOU)","6","5","89","17.8","28","3","1","0","0","0","0","4","14.9","3.7","27.0%"
"75","Terry McLaurin (WAS)","17","10","149","14.9","56","1","0","0","0","0","0","3","14.9","5.0","96.8%"
"76","Calvin Ridley (TEN)","24","10","141","14.1","27","4","0","0","0","0","0","4","14.1","3.5","85.6%"
"77","Olamide Zaccheaus (CHI)","22","14","119","8.5","16","0","0","2","21","0","0","4","14.0","3.5","1.0%"
"78","Joshua Palmer (BUF)","16","10","138","13.8","32","2","0","0","0","0","0","4","13.8","3.5","16.8%"
"79","Darius Slayton (NYG)","12","9","135","15.0","52","1","0","0","0","0","0","4","13.5","3.4","3.7%"
"80","Xavier Worthy (KC)","9","5","83","16.6","37","2","0","3","38","0","0","2","12.1","6.1","93.4%"
"81","Jalen Tolbert (DAL)","18","10","101","10.1","34","1","0","0","0","0","0","4","12.1","3.0","3.1%"
"82","Josh Downs (IND)","19","14","121","8.6","29","1","0","0","0","0","0","4","12.1","3.0","58.4%"
"83","Travis Hunter (JAC)","21","13","118","9.1","28","2","0","0","0","0","0","4","11.8","3.0","90.6%"
"84","Adonai Mitchell (IND)","12","7","137","19.6","75","1","0","0","0","0","1","4","11.7","2.9","2.0%"
"85","Kalif Raymond (DET)","9","6","47","7.8","14","0","0","1","9","0","0","4","11.6","2.9","0.6%"
"86","Jordan Addison (MIN)","8","4","114","28.5","81","2","0","0","0","0","0","1","11.4","11.4","82.5%"
"87","Dontayvion Wicks (GB)","16","10","114","11.4","16","0","0","0","0","0","0","4","11.4","2.9","4.8%"
"88","Jayden Reed (GB)","5","3","45","15.0","26","1","1","0","0","0","0","2","10.5","5.3","47.6%"
"89","Isaac TeSlaa (DET)","4","2","42","21.0","29","1","1","0","0","0","0","4","10.2","2.6","8.2%"
"90","Brycen Tremayne (CAR)","11","8","99","12.4","26","2","0","0","0","0","0","4","9.9","2.5","0.0%"
"91","Tylan Wallace (BAL)","5","3","39","13.0","15","0","1","0","0","0","0","4","9.9","2.5","0.6%"
"92","Brandin Cooks (NO)","15","11","98","8.9","20","1","0","0","0","0","0","4","9.8","2.5","2.5%"
"93","Xavier Hutchinson (HOU)","11","9","92","10.2","23","2","0","1","5","0","0","4","9.7","2.4","0.6%"
"94","Michael Wilson (ARI)","14","6","36","6.0","11","0","1","0","0","0","0","4","9.6","2.4","4.1%"
"95","Isaiah Bond (CLE)","14","7","85","12.1","35","1","0","1","9","0","0","4","9.4","2.4","1.2%"
"96","Dont'e Thornton Jr. (LV)","14","5","94","18.8","36","3","0","0","0","0","0","4","9.4","2.4","10.7%"
"97","Jaylin Lane (WAS)","11","5","29","5.8","11","0","0","0","0","0","0","4","8.9","2.2","1.0%"
"98","Kendrick Bourne (SF)","13","8","87","10.9","17","0","0","0","0","0","0","3","8.7","2.9","0.8%"
"99","Ben Skowronek (PIT)","2","1","22","22.0","22","1","1","0","0","0","0","4","8.2","2.1","0.1%"
"100","Mitch Tinsley (CIN)","4","2","22","11.0","13","0","1","0","0","0","0","4","8.2","2.1","0.6%"
"101","Allen Lazard (NYJ)","4","3","21","7.0","9","0","1","0","0","0","0","3","8.1","2.7","0.8%"
"102","Ryan Miller (TB)","3","1","20","20.0","20","1","1","0","0","0","0","4","8.0","2.0","1.0%"
"103","Darnell Mooney (ATL)","16","7","79","11.3","21","1","0","0","0","0","0","3","7.9","2.6","56.1%"
"104","DeMario Douglas (NE)","13","5","13","2.6","8","0","1","1","4","0","0","4","7.7","1.9","14.9%"
"105","Devaughn Vele (NO)","3","2","16","8.0","13","0","1","0","0","0","0","3","7.6","2.5","0.7%"
"106","Jahan Dotson (PHI)","7","5","70","14.0","51","1","0","0","0","0","0","4","7.0","1.8","1.2%"
"107","Chris Moore (WAS)","6","3","59","19.7","34","1","0","1","9","0","0","3","6.8","2.3","0.0%"
"108","Jordan Whittington (LAR)","6","5","56","11.2","40","1","0","3","12","0","0","4","6.8","1.7","1.1%"
"109","Ray-Ray McCloud III (ATL)","14","6","64","10.7","24","1","0","0","0","0","0","4","6.4","1.6","1.8%"
"110","Tyler Johnson (NYJ)","6","4","63","15.8","24","2","0","0","0","0","0","3","6.3","2.1","1.1%"
"111","Adam Thielen (MIN)","8","4","37","9.3","19","0","0","0","0","0","0","4","5.7","1.4","18.9%"
"112","Greg Dortch (ARI)","9","8","47","5.9","15","0","0","2","9","0","0","4","5.6","1.4","0.8%"
"113","Casey Washington (ATL)","9","4","52","13.0","19","0","0","0","0","0","0","2","5.2","2.6","0.0%"
"114","Savion Williams (GB)","4","4","23","5.8","16","0","0","5","24","0","0","4","4.7","1.2","0.7%"
"115","Ryan Flournoy (DAL)","5","4","35","8.8","11","0","0","1","12","0","0","3","4.7","1.6","1.3%"
"116","Tyler Lockett (TEN)","12","6","46","7.7","16","0","0","0","0","0","0","4","4.6","1.2","4.2%"
"117","Malik Heath (GB)","2","2","46","23.0","37","1","0","0","0","0","0","4","4.6","1.2","0.6%"
"118","Christian Kirk (HOU)","12","6","45","7.5","13","0","0","0","0","0","0","2","4.5","2.3","37.5%"
"119","Tre Harris (LAC)","6","3","45","15.0","24","1","0","0","0","0","0","4","4.5","1.1","9.0%"
"120","Andrei Iosivas (CIN)","6","2","34","17.0","22","1","0","1","5","0","0","4","3.9","1.0","1.4%"
"121","Noah Brown (WAS)","7","3","36","12.0","18","0","0","0","0","0","0","2","3.6","1.8","1.0%"
"122","Xavier Smith (LAR)","1","1","36","36.0","36","1","0","0","0","0","0","4","3.6","0.9","1.0%"
"123","Jack Bech (LV)","2","2","33","16.5","23","1","0","0","0","0","0","4","3.3","0.8","4.5%"
