"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Spencer Shrader (IND)","13","14","92.9","52","0","5","5","2","1","12","12","4","55.0","13.8","29.1%"
"2","Brandon Aubrey (DAL)","9","9","100.0","64","0","1","1","3","4","11","11","4","49.0","12.3","99.1%"
"3","Jason Myers (SEA)","9","11","81.8","56","0","0","3","3","3","12","12","4","48.0","12.0","7.1%"
"4","Chase McLaughlin (TB)","9","12","75.0","65","0","1","2","2","4","8","9","4","45.0","11.3","75.1%"
"5","Harrison Butker (KC)","10","13","76.9","59","0","3","3","1","3","7","9","4","44.0","11.0","76.5%"
"6","Joey Slye (TEN)","10","14","71.4","57","0","0","4","2","4","3","3","4","43.0","10.8","9.5%"
"7","Matt Gay (WAS)","7","10","70.0","56","0","0","0","4","3","10","10","4","41.0","10.3","20.3%"
"8","Tyler Loop (BAL)","7","7","100.0","52","0","0","2","4","1","14","15","4","41.0","10.3","70.0%"
"9","Matt Prater (BUF)","8","9","88.9","52","0","2","3","2","1","13","13","4","41.0","10.3","54.0%"
"10","Cam Little (JAC)","9","11","81.8","51","0","3","3","3","0","9","9","4","39.0","9.8","52.5%"
"11","Will Reichard (MIN)","8","8","100.0","62","0","1","3","1","3","8","8","4","39.0","9.8","10.5%"
"12","Jake Bates (DET)","6","8","75.0","58","0","1","2","2","1","17","17","4","39.0","9.8","91.9%"
"13","Chad Ryland (ARI)","8","10","80.0","57","0","2","2","2","2","8","8","4","38.0","9.5","3.6%"
"14","Joshua Karty (LAR)","8","10","80.0","51","0","3","2","2","1","10","11","4","38.0","9.5","6.8%"
"15","Ka'imi Fairbairn (HOU)","8","10","80.0","53","0","1","1","3","3","4","4","4","37.0","9.3","55.5%"
"16","Nick Folk (NYJ)","7","7","100.0","58","0","0","2","1","4","7","7","4","37.0","9.3","2.1%"
"17","Brandon McManus (GB)","7","9","77.8","56","0","1","4","0","2","11","12","4","36.0","9.0","18.8%"
"18","Cairo Santos (CHI)","6","7","85.7","52","0","0","1","3","2","11","11","4","36.0","9.0","13.1%"
"19","Chris Boswell (PIT)","6","7","85.7","60","0","0","1","3","2","10","10","4","35.0","8.8","85.3%"
"20","Cameron Dicker (LAC)","8","8","100.0","43","0","2","4","2","0","8","8","4","34.0","8.5","96.2%"
"21","Daniel Carlson (LV)","7","9","77.8","54","0","1","2","2","2","6","6","4","33.0","8.3","13.1%"
"22","Jake Elliott (PHI)","4","4","100.0","58","0","0","1","0","3","12","12","4","30.0","7.5","70.7%"
"23","Eddy Pineiro (SF)","7","7","100.0","51","0","2","2","2","1","4","5","3","29.0","9.7","2.4%"
"24","Parker Romo (ATL)","7","9","77.8","54","0","2","4","0","1","5","5","3","28.0","9.3","1.2%"
"25","Blake Grupe (NO)","6","9","66.7","54","0","3","2","0","1","6","6","4","26.0","6.5","0.8%"
"26","Wil Lutz (DEN)","4","5","80.0","42","0","1","2","1","0","12","12","4","25.0","6.3","35.4%"
"27","Ryan Fitzgerald (CAR)","5","6","83.3","57","0","1","1","2","1","6","7","4","25.0","6.3","0.8%"
"28","Andy Borregales (NE)","4","5","80.0","53","0","1","1","1","1","10","12","4","25.0","6.3","0.9%"
"29","Graham Gano (NYG)","6","6","100.0","55","0","2","3","0","1","4","4","3","24.0","8.0","0.8%"
"30","Riley Patterson (MIA)","4","4","100.0","47","0","0","1","3","0","9","9","4","24.0","6.0","0.6%"
"31","Andre Szmyt (CLE)","5","7","71.4","55","0","0","3","1","1","5","6","4","23.0","5.8","0.6%"
"32","Evan McPherson (CIN)","4","4","100.0","45","0","1","2","1","0","7","7","4","20.0","5.0","35.9%"
"33","Younghoe Koo (NYG)","2","3","66.7","41","0","0","1","1","0","2","2","1","9.0","9.0","20.8%"
"34","Jude McAtamney (NYG)","2","2","100.0","31","0","1","1","0","0","1","1","1","7.0","7.0","0.6%"
"35","Jake Moody (CHI)","1","3","33.3","32","0","0","1","0","0","2","2","1","5.0","5.0","4.2%"
"36","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.7%"
"37","Ben Sauls (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.7%"
"39","Lenny Krieg (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"40","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"41","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Mark McNamee (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
