"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","James Cook III (BUF)","75","401","5.3","44","2","5","13","12","89","7.4","0","0","4","79.0","19.8","99.4%"
"2","Jonathan Taylor (IND)","77","414","5.4","68","2","3","14","13","113","8.7","1","0","4","76.7","19.2","99.6%"
"3","Bijan Robinson (ATL)","64","314","4.9","25","1","1","23","18","270","15.0","1","0","4","70.4","17.6","99.8%"
"4","Christian McCaffrey (SF)","69","225","3.3","15","0","0","43","31","305","9.8","2","0","4","65.0","16.3","99.8%"
"5","Josh Jacobs (GB)","80","266","3.3","19","0","4","14","10","119","11.9","0","0","4","62.5","15.6","99.7%"
"6","Travis Etienne Jr. (JAC)","65","394","6.1","71","3","2","10","6","32","5.3","1","0","4","60.6","15.2","90.7%"
"7","Javonte Williams (DAL)","63","312","5.0","30","2","4","18","16","74","4.6","0","1","4","60.6","15.2","93.5%"
"8","Jahmyr Gibbs (DET)","58","271","4.7","42","4","4","21","20","79","4.0","0","0","4","59.0","14.8","99.8%"
"9","De'Von Achane (MIA)","50","246","4.9","26","2","1","25","19","143","7.5","2","0","4","56.9","14.2","99.7%"
"10","Bucky Irving (TB)","71","237","3.3","16","0","0","19","19","193","10.2","2","1","4","53.0","13.3","99.6%"
"11","Ashton Jeanty (LV)","68","282","4.1","64","1","2","8","7","20","2.9","2","1","4","52.2","13.1","99.3%"
"12","J.K. Dobbins (DEN)","57","323","5.7","41","2","3","7","5","18","3.6","0","0","4","52.1","13.0","88.1%"
"13","Omarion Hampton (LAC)","54","270","5.0","54","2","2","16","14","110","7.9","0","0","4","50.0","12.5","98.0%"
"14","Saquon Barkley (PHI)","77","237","3.1","16","0","3","16","14","70","5.0","0","0","4","48.7","12.2","99.8%"
"15","Kenneth Walker III (SEA)","58","244","4.2","21","3","3","7","6","58","9.7","0","0","4","48.2","12.1","97.3%"
"16","Derrick Henry (BAL)","49","284","5.8","49","4","3","5","4","36","9.0","0","2","4","46.0","11.5","99.8%"
"17","David Montgomery (DET)","43","245","5.7","72","2","3","7","6","35","5.8","0","0","4","46.0","11.5","95.5%"
