"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Hunter Henry (NE)","24","15","204","13.6","31","2","3","0","0","0","0","4","38.4","9.6","62.2%"
"2","Dalton Kincaid (BUF)","18","14","179","12.8","28","3","3","0","0","0","0","4","35.9","9.0","82.9%"
"3","Tucker Kraft (GB)","20","16","225","14.1","57","1","2","1","3","0","0","4","34.8","8.7","90.4%"
"4","Tyler Warren (IND)","27","19","263","13.8","41","4","0","4","6","1","0","4","32.9","8.2","94.8%"
"5","Dallas Goedert (PHI)","13","12","114","9.5","33","2","3","0","0","0","0","3","29.4","9.8","70.0%"
"6","Trey McBride (ARI)","35","24","234","9.8","31","2","1","0","0","0","0","4","29.4","7.4","99.7%"
"7","Zach Ertz (WAS)","20","14","149","10.6","20","1","2","0","0","0","0","4","28.9","7.2","73.1%"
"8","Jake Ferguson (DAL)","39","34","223","6.6","19","0","1","0","0","0","0","4","28.3","7.1","83.3%"
"9","Kyle Pitts Sr. (ATL)","24","20","205","10.3","26","2","1","0","0","0","0","4","26.5","6.6","69.8%"
"10","Juwan Johnson (NO)","31","22","204","9.3","21","2","1","0","0","0","0","4","26.4","6.6","55.5%"
"11","Mark Andrews (BAL)","18","15","128","8.5","27","1","2","1","2","0","0","4","25.0","6.3","87.9%"
"12","Jake Tonges (SF)","16","12","125","10.4","23","2","2","0","0","0","0","4","24.5","6.1","3.0%"
"13","Brock Bowers (LV)","27","19","225","11.8","38","3","0","0","0","0","0","4","24.5","6.1","99.6%"
"14","Travis Kelce (KC)","22","15","182","12.1","37","2","1","0","0","0","0","4","24.2","6.1","97.7%"
"15","AJ Barner (SEA)","9","7","81","11.6","23","1","2","2","4","0","0","4","20.5","5.1","1.1%"
"16","Brenton Strange (JAC)","23","19","182","9.6","24","1","0","0","0","0","0","4","18.2","4.6","27.5%"
"17","Sam LaPorta (DET)","21","16","177","11.1","32","2","0","0","0","0","0","4","17.7","4.4","98.8%"
"18","Cole Kmet (CHI)","16","7","116","16.6","31","3","1","0","0","0","0","4","17.6","4.4","4.3%"
"19","T.J. Hockenson (MIN)","18","13","115","8.8","14","0","1","0","0","0","0","4","17.5","4.4","95.1%"
"20","Harold Fannin Jr. (CLE)","24","17","160","9.4","22","2","0","2","4","0","0","4","16.4","4.1","43.8%"
"21","Hunter Long (JAC)","7","6","41","6.8","11","0","2","0","0","0","0","4","16.1","4.0","0.0%"
"22","Darren Waller (MIA)","4","3","27","9.0","14","0","2","0","0","0","0","1","14.7","14.7","9.1%"
"23","Davis Allen (LAR)","5","4","24","6.0","13","0","2","0","0","0","0","4","14.4","3.6","0.6%"
"24","Tommy Tremble (CAR)","14","11","80","7.3","15","0","1","0","0","0","0","4","14.0","3.5","0.6%"
"25","Jonnu Smith (PIT)","16","14","71","5.1","21","1","1","0","0","0","0","4","13.1","3.3","44.9%"
"26","David Njoku (CLE)","21","14","128","9.1","23","1","0","0","0","0","0","4","12.8","3.2","87.9%"
"27","Dalton Schultz (HOU)","21","16","126","7.9","16","0","0","0","0","0","0","4","12.6","3.2","15.2%"
"28","Theo Johnson (NYG)","15","9","66","7.3","14","0","1","0","0","0","0","4","12.6","3.2","3.8%"
"29","Chig Okonkwo (TEN)","19","13","124","9.5","22","1","0","0","0","0","0","4","12.4","3.1","24.7%"
"30","Noah Fant (CIN)","14","12","80","6.7","25","1","1","0","0","0","1","3","12.0","4.0","2.7%"
"31","Jackson Hawes (BUF)","4","4","54","13.5","29","1","1","0","0","0","0","4","11.4","2.9","0.6%"
"32","Mason Taylor (NYJ)","16","11","108","9.8","27","2","0","0","0","0","0","4","10.8","2.7","6.5%"
"33","Adam Trautman (DEN)","7","6","47","7.8","26","1","1","0","0","0","0","4","10.7","2.7","0.7%"
"34","Jeremy Ruckert (NYJ)","4","4","44","11.0","12","0","1","0","0","0","0","4","10.4","2.6","0.7%"
"35","Mitchell Evans (CAR)","6","5","41","8.2","16","0","1","0","0","0","0","4","10.1","2.5","0.6%"
"36","Austin Hooper (NE)","8","7","100","14.3","24","2","0","0","0","0","0","4","10.0","2.5","0.6%"
"37","Ja'Tavion Sanders (CAR)","14","11","92","8.4","18","0","0","0","0","0","0","3","9.2","3.1","4.0%"
"38","Brock Wright (DET)","3","3","28","9.3","12","0","1","0","0","0","0","4","8.8","2.2","0.6%"
"39","Jack Stoll (NO)","4","3","28","9.3","13","0","1","0","0","0","0","4","8.8","2.2","0.0%"
"40","Drew Sample (CIN)","6","3","27","9.0","16","0","1","0","0","0","0","4","8.7","2.2","1.0%"
