"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Houston Texans (HOU)","33","12","7","8","2","0","0","11","112.0","10.2","82.3%"
"2","Los Angeles Rams (LAR)","31","12","7","10","1","0","0","11","103.0","9.4","55.9%"
"3","Seattle Seahawks (SEA)","36","9","4","3","2","0","2","11","102.0","9.3","92.9%"
"4","Cleveland Browns (CLE)","42","9","6","10","2","0","0","11","96.0","8.7","68.1%"
"5","Pittsburgh Steelers (PIT)","34","9","11","13","3","0","0","11","94.0","8.5","73.4%"
"6","New England Patriots (NE)","25","8","5","5","2","1","2","12","94.0","7.8","76.9%"
"7","Denver Broncos (DEN)","49","6","3","5","0","0","0","11","91.0","8.3","91.8%"
"8","Indianapolis Colts (IND)","33","11","5","5","1","0","0","11","87.0","7.9","37.7%"
"9","Jacksonville Jaguars (JAC)","21","13","5","5","1","0","2","11","84.0","7.6","41.0%"
"10","Atlanta Falcons (ATL)","39","9","6","10","0","0","0","11","82.0","7.5","34.9%"
"11","Philadelphia Eagles (PHI)","22","7","5","8","1","0","2","11","80.0","7.3","72.3%"
"12","Arizona Cardinals (ARI)","22","9","8","10","2","1","0","11","76.0","6.9","18.2%"
"13","Chicago Bears (CHI)","23","16","8","9","1","0","0","11","74.0","6.7","18.0%"
"14","Tampa Bay Buccaneers (TB)","27","10","6","7","2","1","0","11","73.0","6.6","25.9%"
"15","Green Bay Packers (GB)","32","6","5","5","0","0","0","12","73.0","6.1","64.0%"
"16","Detroit Lions (DET)","32","9","4","11","0","1","1","12","72.0","6.0","69.2%"
"17","New Orleans Saints (NO)","24","6","7","9","2","0","0","11","67.0","6.1","7.5%"
"18","Tennessee Titans (TEN)","27","5","5","2","2","0","2","11","66.0","6.0","1.8%"
"19","Carolina Panthers (CAR)","16","10","4","4","1","0","0","12","65.0","5.4","5.4%"
"20","Kansas City Chiefs (KC)","22","7","3","5","0","0","0","12","64.0","5.3","30.6%"
"21","Minnesota Vikings (MIN)","27","3","6","10","2","0","0","11","64.0","5.8","53.1%"
"22","Buffalo Bills (BUF)","26","7","6","10","0","0","1","11","63.0","5.7","51.5%"
"23","Los Angeles Chargers (LAC)","29","10","2","5","0","1","0","11","61.0","5.5","55.2%"
"24","Miami Dolphins (MIA)","21","3","9","7","0","0","1","11","58.0","5.3","12.3%"
"25","Baltimore Ravens (BAL)","19","7","7","8","1","0","0","12","57.0","4.8","75.4%"
"26","Dallas Cowboys (DAL)","28","5","5","7","1","1","1","12","53.0","4.4","9.5%"
"27","San Francisco 49ers (SF)","13","5","7","9","0","0","0","12","50.0","4.2","40.4%"
"28","Las Vegas Raiders (LV)","20","7","6","7","0","0","0","11","48.0","4.4","19.0%"
"29","Washington Commanders (WAS)","25","5","1","6","0","1","1","11","47.0","4.3","6.5%"
"30","Cincinnati Bengals (CIN)","18","10","4","5","1","0","1","12","45.0","3.8","2.4%"
"31","New York Jets (NYJ)","19","0","1","6","0","1","3","11","42.0","3.8","8.6%"
"32","New York Giants (NYG)","26","5","2","5","0","0","0","12","32.0","2.7","6.0%"
""
""
