"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Jason Myers (SEA)","24","29","82.8","57","0","4","8","7","5","36","36","11","125.0","11.4","78.2%"
"2","Brandon Aubrey (DAL)","22","24","91.7","64","0","7","3","6","6","37","38","12","121.0","10.1","98.3%"
"3","Evan McPherson (CIN)","23","26","88.5","63","0","4","6","9","4","27","27","12","113.0","9.4","26.5%"
"4","Cameron Dicker (LAC)","25","27","92.6","59","0","4","10","8","3","23","23","11","112.0","10.2","89.2%"
"5","Chris Boswell (PIT)","19","22","86.4","60","0","2","2","8","7","29","29","11","108.0","9.8","88.8%"
"6","Ka'imi Fairbairn (HOU)","25","28","89.3","57","0","4","8","8","5","14","14","9","107.0","11.9","47.8%"
"7","Eddy Pineiro (SF)","22","22","100.0","59","0","4","4","8","6","18","22","10","104.0","10.4","14.5%"
"8","Tyler Loop (BAL)","22","24","91.7","52","0","7","7","7","1","29","30","12","104.0","8.7","82.7%"
"9","Will Reichard (MIN)","21","23","91.3","62","0","4","6","3","8","19","19","11","101.0","9.2","27.3%"
"10","Andy Borregales (NE)","19","21","90.5","53","2","3","6","5","3","33","35","12","101.0","8.4","39.2%"
"11","Harrison Butker (KC)","21","24","87.5","59","1","7","7","3","3","28","32","12","100.0","8.3","75.3%"
"12","Jake Bates (DET)","16","20","80.0","59","0","4","4","4","4","40","42","12","100.0","8.3","92.3%"
"13","Chase McLaughlin (TB)","20","24","83.3","65","0","3","6","3","8","21","22","11","100.0","9.1","78.6%"
"14","Cam Little (JAC)","18","22","81.8","68","0","3","6","4","5","27","28","11","95.0","8.6","55.5%"
"15","Joey Slye (TEN)","20","25","80.0","57","0","2","5","6","7","13","14","10","93.0","9.3","1.4%"
"16","Nick Folk (NYJ)","20","20","100.0","58","0","4","5","6","5","15","15","11","91.0","8.3","4.4%"
"17","Cairo Santos (CHI)","17","21","81.0","54","0","2","6","6","3","25","25","9","88.0","9.8","28.5%"
"18","Chad Ryland (ARI)","17","21","81.0","57","0","4","5","6","2","25","25","11","86.0","7.8","3.5%"
"19","Matt Prater (BUF)","15","17","88.2","52","0","2","6","6","1","32","34","11","85.0","7.7","51.6%"
"20","Wil Lutz (DEN)","17","20","85.0","57","0","4","8","2","3","24","24","11","83.0","7.5","24.8%"
"21","Riley Patterson (MIA)","17","19","89.5","49","0","3","5","9","0","23","24","11","83.0","7.5","1.6%"
"22","Matt Gay (SF)","15","21","71.4","56","0","3","2","6","4","24","24","11","83.0","7.5","19.0%"
"23","Ryan Fitzgerald (CAR)","18","22","81.8","57","0","5","6","5","2","16","19","12","79.0","6.6","3.6%"
"24","Blake Grupe (FA)","18","26","69.2","54","0","7","6","2","3","15","15","11","77.0","7.0","0.8%"
"25","Andre Szmyt (CLE)","16","19","84.2","55","0","2","8","3","3","18","19","11","75.0","6.8","0.8%"
"26","Brandon McManus (GB)","15","21","71.4","56","0","4","6","3","2","22","23","9","74.0","8.2","11.5%"
"27","Jake Elliott (PHI)","11","14","78.6","58","0","1","4","3","3","30","30","11","72.0","6.5","61.6%"
"28","Daniel Carlson (LV)","16","21","76.2","54","0","4","5","4","3","13","14","11","71.0","6.5","10.6%"
"29","Joshua Karty (FA)","10","15","66.7","51","0","3","3","3","1","23","26","8","58.0","7.3","5.7%"
"30","Spencer Shrader (IND)","13","14","92.9","52","0","5","5","2","1","14","14","5","57.0","11.4","1.7%"
"31","Michael Badgley (IND)","9","10","90.0","53","0","1","3","3","2","17","19","6","51.0","8.5","20.1%"
"32","Parker Romo (FA)","11","14","78.6","54","0","2","7","1","1","12","13","7","48.0","6.9","0.8%"
"33","Graham Gano (NYG)","9","10","90.0","55","0","3","4","1","1","9","9","5","39.0","7.8","0.7%"
"34","Jake Moody (WAS)","9","12","75.0","48","0","2","4","3","0","5","5","3","35.0","11.7","5.8%"
"35","Zane Gonzalez (ATL)","6","6","100.0","56","0","0","0","3","3","6","6","3","33.0","11.0","4.3%"
"36","Younghoe Koo (NYG)","6","7","85.7","44","1","1","2","2","0","9","10","4","29.0","7.3","20.3%"
"37","Harrison Mevis (LAR)","2","2","100.0","52","0","0","0","1","1","13","13","3","22.0","7.3","9.4%"
"38","Lucas Havrisik (FA)","4","4","100.0","61","0","0","2","1","1","7","9","3","22.0","7.3","0.9%"
"39","Matthew Wright (FA)","5","5","100.0","46","0","1","1","3","0","4","4","4","22.0","5.5","0.6%"
"40","Jude McAtamney (FA)","2","2","100.0","31","0","1","1","0","0","9","12","4","15.0","3.8","0.6%"
"41","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.7%"
"42","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"43","Ben Sauls (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Greg Joseph (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"45","Lenny Krieg (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"46","Cade York (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"47","Charlie Smyth (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"48","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
