"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","205","1,197","5.8","83","9","15","35","32","268","8.4","2","0","11","250.5","22.8","99.6%"
"2","Christian McCaffrey (SF)","217","796","3.7","20","1","7","103","81","785","9.7","5","0","12","230.1","19.2","99.8%"
"3","Jahmyr Gibbs (DET)","175","1,019","5.8","78","10","10","59","51","397","7.8","3","0","12","219.6","18.3","99.9%"
"4","De'Von Achane (MIA)","164","900","5.5","59","9","5","71","54","370","6.9","4","0","11","181.0","16.5","99.7%"
"5","James Cook III (BUF)","199","1,084","5.4","64","7","8","26","24","203","8.5","1","1","11","180.7","16.4","99.4%"
"6","Bijan Robinson (ATL)","172","853","5.0","81","4","4","61","49","543","11.1","2","1","11","175.6","16.0","99.8%"
"7","Javonte Williams (DAL)","198","955","4.8","66","5","8","42","31","128","4.1","2","2","12","164.3","13.7","97.7%"
"8","Derrick Henry (BAL)","197","931","4.7","59","7","10","18","14","142","10.1","0","2","12","163.3","13.6","99.7%"
"9","Josh Jacobs (GB)","186","731","3.9","29","1","11","36","29","245","8.4","0","1","11","161.6","14.7","99.7%"
"10","Kyren Williams (LAR)","170","796","4.7","34","3","6","32","24","184","7.7","3","2","11","148.0","13.5","99.4%"
"11","Rico Dowdle (CAR)","174","871","5.0","53","5","5","34","27","233","8.6","1","0","12","146.4","12.2","72.9%"
"12","Travis Etienne Jr. (JAC)","169","815","4.8","71","5","5","37","24","160","6.7","2","0","11","139.5","12.7","93.0%"
"13","Ashton Jeanty (LV)","166","604","3.6","64","1","4","46","37","221","6.0","4","1","11","128.5","11.7","99.0%"
"14","Saquon Barkley (PHI)","185","684","3.7","65","2","4","41","35","259","7.4","2","1","11","128.3","11.7","99.8%"
"15","Breece Hall (NYJ)","168","766","4.6","35","7","2","37","28","301","10.8","1","2","11","124.9","11.4","97.9%"
"16","Chase Brown (CIN)","160","704","4.4","37","5","2","64","48","287","6.0","1","0","12","119.1","9.9","98.1%"
"17","Quinshon Judkins (CLE)","173","667","3.9","46","4","7","20","14","70","5.0","0","0","10","115.7","11.6","93.1%"
"18","D'Andre Swift (CHI)","142","649","4.6","25","3","4","34","24","224","9.3","1","2","10","113.3","11.3","93.8%"
"19","David Montgomery (DET)","123","543","4.4","72","2","6","24","20","151","7.6","0","1","12","109.5","9.1","94.4%"
"20","Kareem Hunt (KC)","130","515","4.0","33","1","7","18","14","114","8.1","1","1","12","108.9","9.1","53.8%"
"21","TreVeyon Henderson (NE)","118","558","4.7","69","3","5","34","29","180","6.2","1","1","12","107.8","9.0","96.0%"
"22","Kenneth Walker III (SEA)","147","677","4.6","31","7","4","19","17","157","9.2","0","0","11","107.4","9.8","95.6%"
"23","Jaylen Warren (PIT)","141","604","4.3","37","3","3","28","25","219","8.8","1","0","10","106.3","10.6","91.7%"
"24","J.K. Dobbins (DEN)","153","772","5.0","41","5","4","14","11","37","3.4","0","0","10","104.9","10.5","57.9%"
"25","Cam Skattebo (NYG)","101","410","4.1","24","1","5","32","24","207","8.6","2","1","8","103.7","13.0","31.9%"
"26","Zach Charbonnet (SEA)","111","385","3.5","30","1","7","10","9","67","7.4","0","0","10","87.2","8.7","75.9%"
"27","Jordan Mason (MIN)","116","531","4.6","24","2","5","14","12","44","3.7","0","1","11","85.5","7.8","67.3%"
"28","Kenneth Gainwell (PIT)","71","336","4.7","55","1","3","48","42","234","5.6","2","1","11","85.0","7.7","69.3%"
"29","Woody Marks (HOU)","115","422","3.7","23","2","2","26","17","185","10.9","2","0","11","84.7","7.7","78.9%"
"30","Rachaad White (TB)","104","414","4.0","16","0","4","33","29","148","5.1","0","0","11","80.2","7.3","65.4%"
"31","RJ Harvey (DEN)","61","244","4.0","50","2","2","32","28","195","7.0","4","0","11","79.9","7.3","88.2%"
"32","Kyle Monangai (CHI)","99","461","4.7","39","2","4","16","10","97","9.7","0","0","11","79.8","7.3","59.5%"
"33","Tyler Allgeier (ATL)","89","324","3.6","21","1","7","9","8","31","3.9","0","0","11","77.5","7.0","37.8%"
"34","Tony Pollard (TEN)","140","522","3.7","21","1","2","32","26","168","6.5","0","2","11","77.0","7.0","82.0%"
"35","Jacory Croskey-Merritt (WAS)","114","498","4.4","42","2","4","13","9","68","7.6","0","2","11","76.6","7.0","53.3%"
"36","Chuba Hubbard (CAR)","94","350","3.7","14","0","1","30","21","153","7.3","2","0","10","68.3","6.8","59.1%"
"37","Alvin Kamara (NO)","131","471","3.6","18","0","1","39","33","186","5.6","0","2","11","67.7","6.2","93.0%"
"38","Tyrone Tracy Jr. (NYG)","103","398","3.9","31","1","1","30","21","206","9.8","0","0","10","66.4","6.6","83.8%"
"39","Kimani Vidal (LAC)","96","417","4.3","38","3","2","16","12","52","4.3","1","0","8","64.9","8.1","64.4%"
"40","Emanuel Wilson (GB)","85","341","4.0","15","0","3","15","13","87","6.7","0","0","12","62.8","5.2","60.2%"
"41","Nick Chubb (HOU)","105","435","4.1","27","2","2","19","12","58","4.8","0","0","11","61.3","5.6","41.8%"
"42","Sean Tucker (TB)","63","277","4.4","43","1","4","10","8","34","4.3","1","0","11","61.1","5.6","31.2%"
"43","Rhamondre Stevenson (NE)","89","284","3.2","22","2","3","21","17","174","10.2","0","3","9","59.8","6.6","71.4%"
"44","Omarion Hampton (LAC)","66","314","4.8","54","2","2","22","20","136","6.8","0","0","5","57.0","11.4","91.7%"
"45","Bhayshul Tuten (JAC)","67","255","3.8","15","0","3","12","8","61","7.6","1","0","11","55.6","5.1","37.3%"
"46","Aaron Jones Sr. (MIN)","61","297","4.9","31","1","1","26","16","128","8.0","1","0","7","54.5","7.8","88.9%"
