"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Trey McBride (ARI)","109","80","797","10.0","31","6","7","0","0","0","0","11","121.7","11.1","99.7%"
"2","Travis Kelce (KC)","78","59","719","12.2","44","9","5","1","1","0","0","12","104.0","8.7","97.7%"
"3","Tyler Warren (IND)","74","55","662","12.0","41","10","3","4","6","1","0","11","90.8","8.3","97.5%"
"4","Jake Ferguson (DAL)","83","70","496","7.1","26","2","7","1","1","0","1","12","89.7","7.5","87.7%"
"5","Tucker Kraft (GB)","44","32","489","15.3","59","6","6","1","3","0","0","8","85.2","10.7","48.2%"
"6","Hunter Henry (NE)","63","41","537","13.1","31","7","5","0","0","0","0","12","83.7","7.0","69.0%"
"7","Dallas Goedert (PHI)","52","38","376","9.9","36","5","7","0","0","0","0","10","79.6","8.0","90.2%"
"8","Mark Andrews (BAL)","52","37","332","9.0","27","3","5","9","45","1","0","12","73.7","6.1","88.5%"
"9","Theo Johnson (NYG)","60","39","427","10.9","41","6","5","0","0","0","0","12","72.7","6.1","51.8%"
"10","Brock Bowers (LV)","64","45","510","11.3","38","6","3","2","2","0","0","8","71.2","8.9","99.1%"
"11","Juwan Johnson (NO)","67","49","537","11.0","52","6","3","0","0","0","1","11","69.7","6.3","42.7%"
"12","Dalton Kincaid (BUF)","36","29","448","15.4","47","10","4","0","0","0","0","8","68.8","8.6","73.2%"
"13","Sam LaPorta (DET)","49","40","489","12.2","40","6","3","0","0","0","0","9","66.9","7.4","80.7%"
"14","Zach Ertz (WAS)","57","39","387","9.9","30","4","4","0","0","0","0","11","64.7","5.9","59.1%"
"15","AJ Barner (SEA)","41","33","324","9.8","61","2","4","8","11","1","0","11","63.5","5.8","18.4%"
"16","George Kittle (SF)","40","33","329","10.0","30","3","5","1","-3","0","0","7","62.6","8.9","99.2%"
"17","Oronde Gadsden II (LAC)","49","37","507","13.7","53","8","2","0","0","0","1","9","60.7","6.7","78.1%"
"18","Harold Fannin Jr. (CLE)","69","48","462","9.6","25","5","2","4","10","0","0","11","59.2","5.4","46.0%"
"19","Colston Loveland (CHI)","38","28","378","13.5","58","6","3","0","0","0","0","10","55.8","5.6","45.1%"
"20","Dalton Schultz (HOU)","72","52","497","9.6","47","4","1","0","0","0","0","11","55.7","5.1","48.0%"
"21","Pat Freiermuth (PIT)","32","26","298","11.5","68","2","4","0","0","0","0","11","53.8","4.9","9.8%"
"22","Kyle Pitts Sr. (ATL)","67","49","459","9.4","26","6","1","0","0","0","0","11","51.9","4.7","76.7%"
"23","David Njoku (CLE)","45","30","288","9.6","23","2","3","0","0","0","0","10","46.8","4.7","66.3%"
"24","Jake Tonges (SF)","35","26","226","8.7","23","2","4","0","0","0","0","12","46.6","3.9","1.3%"
"25","T.J. Hockenson (MIN)","51","38","299","7.9","21","1","2","1","0","0","0","11","41.9","3.8","79.5%"
"26","Noah Fant (CIN)","37","32","268","8.4","25","3","3","0","0","0","2","11","40.8","3.7","3.2%"
"27","Cade Otton (TB)","60","41","402","9.8","27","5","0","0","0","0","0","11","40.2","3.7","38.1%"
"28","Mason Taylor (NYJ)","53","37","297","8.0","27","2","1","0","0","0","0","11","37.7","3.4","17.9%"
"29","Chig Okonkwo (TEN)","46","35","377","10.8","39","5","0","0","0","0","0","11","37.7","3.4","15.6%"
"30","Darren Waller (MIA)","12","10","117","11.7","34","2","4","0","0","0","0","4","35.7","8.9","25.6%"
"31","Evan Engram (DEN)","50","32","260","8.1","20","1","1","1","7","0","0","10","32.7","3.3","57.6%"
"32","Gunnar Helm (TEN)","37","30","267","8.9","22","1","1","0","0","0","0","11","32.7","3.0","1.3%"
