"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaxon Smith-Njigba (SEA)","107","80","1,313","16.4","63","21","7","6","37","0","1","11","175.0","15.9","99.6%"
"2","George Pickens (DAL)","105","73","1,142","15.6","45","18","8","0","0","0","0","12","164.2","13.7","97.5%"
"3","Amon-Ra St. Brown (DET)","108","75","884","11.8","34","11","9","3","9","0","0","12","143.3","11.9","99.8%"
"4","Davante Adams (LAR)","94","48","631","13.1","44","12","12","0","0","0","0","11","135.1","12.3","98.5%"
"5","Puka Nacua (LAR)","98","80","947","11.8","39","13","4","6","73","1","1","10","130.0","13.0","99.8%"
"6","Ja'Marr Chase (CIN)","131","86","971","11.3","64","8","5","2","6","0","1","11","125.7","11.4","99.7%"
"7","Drake London (ATL)","94","60","810","13.5","43","12","6","0","0","0","1","9","117.0","13.0","99.0%"
"8","Emeka Egbuka (TB)","93","48","749","15.6","77","16","6","2","9","0","0","11","113.8","10.3","97.5%"
"9","Tetairoa McMillan (CAR)","96","56","783","14.0","40","13","5","0","0","0","0","12","108.3","9.0","95.3%"
"10","Jameson Williams (DET)","63","38","706","18.6","64","14","6","5","5","0","0","12","107.1","8.9","92.6%"
"11","Michael Pittman Jr. (IND)","78","59","607","10.3","27","4","7","0","0","0","0","11","104.7","9.5","87.8%"
"12","Jaylen Waddle (MIA)","73","49","722","14.7","46","11","5","0","0","0","0","11","102.5","9.3","95.8%"
"13","Tee Higgins (CIN)","70","40","575","14.4","44","9","7","0","0","0","0","11","101.5","9.2","97.8%"
"14","Rome Odunze (CHI)","84","42","653","15.5","37","13","6","0","0","0","0","11","101.3","9.2","94.1%"
"15","Wan'Dale Robinson (NYG)","102","66","794","12.0","50","13","3","2","2","0","0","12","97.6","8.1","64.9%"
"16","Chris Olave (NO)","108","69","734","10.6","62","7","4","1","-3","0","0","11","96.1","8.7","93.7%"
"17","Nico Collins (HOU)","85","52","697","13.4","54","9","4","1","8","0","1","10","94.5","9.5","99.1%"
"18","DK Metcalf (PIT)","70","42","573","13.6","80","9","5","2","12","1","0","11","94.5","8.6","97.0%"
"19","DeVonta Smith (PHI)","78","55","754","13.7","79","10","3","0","0","0","0","11","93.4","8.5","96.2%"
"20","CeeDee Lamb (DAL)","81","51","744","14.6","74","10","3","1","2","0","0","9","92.6","10.3","99.8%"
"21","Justin Jefferson (MIN)","99","60","795","13.3","50","11","2","1","4","0","0","11","91.9","8.4","99.8%"
"22","Courtland Sutton (DEN)","74","45","649","14.4","52","12","4","0","0","0","0","11","90.9","8.3","93.1%"
"23","Rashee Rice (KC)","59","42","486","11.6","47","9","5","5","20","1","0","6","88.6","14.8","98.2%"
"24","Ladd McConkey (LAC)","84","54","644","11.9","58","6","4","0","0","0","0","11","88.4","8.0","97.8%"
"25","Deebo Samuel Sr. (WAS)","68","53","470","8.9","28","6","5","11","52","1","0","10","88.2","8.8","91.9%"
"26","Tre Tucker (LV)","64","41","530","12.9","61","8","5","6","36","0","0","11","86.6","7.9","51.9%"
"27","Romeo Doubs (GB)","71","45","542","12.0","48","8","5","0","0","0","0","12","86.2","7.2","55.7%"
"28","Stefon Diggs (NE)","75","61","679","11.1","33","9","3","0","0","0","0","12","85.9","7.2","94.1%"
"29","Troy Franklin (DEN)","81","46","509","11.1","42","7","5","4","9","0","1","11","85.8","7.8","66.8%"
"30","Quentin Johnston (LAC)","66","37","502","13.6","60","9","6","2","7","0","1","10","84.9","8.5","56.9%"
"31","Keenan Allen (LAC)","86","56","592","10.6","31","6","4","0","0","0","0","11","83.2","7.6","81.7%"
"32","Zay Flowers (BAL)","84","60","767","12.8","56","12","1","8","42","0","2","12","82.9","6.9","96.5%"
"33","A.J. Brown (PHI)","75","46","567","12.3","45","8","4","0","0","0","0","10","80.7","8.1","99.1%"
"34","DJ Moore (CHI)","58","36","485","13.5","42","7","3","13","57","1","1","11","80.3","7.3","82.0%"
"35","Marvin Harrison Jr. (ARI)","62","34","525","15.4","45","8","4","0","0","0","0","9","78.5","8.7","93.2%"
"36","Marquise Brown (KC)","60","41","459","11.2","49","5","5","0","0","0","0","12","75.9","6.3","25.9%"
"37","Kayshon Boutte (NE)","33","25","446","17.8","39","9","5","0","0","0","0","10","74.6","7.5","23.2%"
"38","Khalil Shakir (BUF)","71","54","564","10.4","54","7","3","1","5","0","1","11","72.9","6.6","83.7%"
"39","Parker Washington (JAC)","60","35","421","12.0","40","5","3","6","5","0","0","11","72.6","6.6","22.8%"
"40","Alec Pierce (IND)","54","29","611","21.1","50","11","1","0","0","0","0","9","67.1","7.5","41.3%"
"41","Rashid Shaheed (SEA)","74","47","529","11.3","87","4","2","6","32","0","1","12","66.1","5.5","60.9%"
"42","Jauan Jennings (SF)","63","37","419","11.3","42","6","4","0","0","0","1","10","65.9","6.6","84.8%"
"43","Garrett Wilson (NYJ)","59","36","395","11.0","33","4","4","0","0","0","0","7","63.5","9.1","87.6%"
"44","Jordan Addison (MIN)","53","28","412","14.7","81","7","3","1","16","0","0","8","60.8","7.6","84.3%"
"45","Tez Johnson (TB)","37","23","282","12.3","45","3","5","7","19","0","0","10","60.1","6.0","30.7%"
"46","Michael Wilson (ARI)","71","47","534","11.4","50","6","1","0","0","0","0","11","59.4","5.4","79.4%"
"47","Jakobi Meyers (JAC)","64","45","507","11.3","45","7","1","0","0","0","0","10","56.7","5.7","76.8%"
"48","DeMario Douglas (NE)","36","24","369","15.4","58","6","3","6","16","0","0","12","56.5","4.7","12.9%"
"49","Brian Thomas Jr. (JAC)","60","30","420","14.0","46","7","1","2","16","1","0","8","55.6","7.0","91.4%"
"50","Tyquan Thornton (KC)","31","15","372","24.8","61","9","3","0","0","0","0","12","55.2","4.6","1.6%"
"51","Xavier Worthy (KC)","59","35","401","11.5","42","5","1","9","86","0","0","10","54.7","5.5","87.1%"
"52","Christian Watson (GB)","34","21","363","17.3","52","6","3","1","3","0","0","6","54.6","9.1","37.1%"
"53","Mack Hollins (NE)","44","32","417","13.0","54","6","2","1","4","0","0","12","54.1","4.5","3.9%"
"54","Jayden Higgins (HOU)","45","27","294","10.9","28","4","4","0","0","0","0","11","53.4","4.9","35.7%"
"55","Tory Horton (SEA)","22","13","161","12.4","25","3","5","0","0","0","0","8","52.1","6.5","4.9%"
"56","Chimere Dike (TEN)","43","28","252","9.0","38","3","2","8","17","0","0","11","50.9","4.6","24.4%"
"57","Keon Coleman (BUF)","49","32","330","10.3","35","4","3","0","0","0","1","9","49.0","5.4","40.8%"
"58","Josh Downs (IND)","54","38","326","8.6","29","1","3","0","0","0","1","10","48.6","4.9","58.5%"
"59","Kendrick Bourne (SF)","42","31","482","15.5","56","4","0","0","0","0","0","11","48.2","4.4","4.9%"
"60","Andrei Iosivas (CIN)","44","24","346","14.4","37","6","2","3","14","0","0","12","48.0","4.0","19.9%"
"61","Jalen Nailor (MIN)","38","20","318","15.9","62","6","2","1","15","0","0","11","47.3","4.3","2.7%"
"62","Malik Washington (MIA)","47","33","234","7.1","28","1","2","13","78","0","1","11","47.2","4.3","16.1%"
"63","Xavier Legette (CAR)","51","27","286","10.6","36","6","3","1","0","0","0","10","46.6","4.7","15.0%"
"64","Cooper Kupp (SEA)","46","31","414","13.4","67","5","1","0","0","0","0","10","46.4","4.6","61.6%"
"65","Xavier Hutchinson (HOU)","34","24","264","11.0","30","4","3","2","14","0","0","11","45.8","4.2","1.6%"
"66","Elic Ayomanor (TEN)","59","28","334","11.9","33","5","2","0","0","0","0","10","45.4","4.5","15.0%"
"67","Greg Dortch (ARI)","31","27","192","7.1","39","1","3","7","15","1","0","11","44.7","4.1","6.1%"
"68","Jerry Jeudy (CLE)","76","32","395","12.3","39","5","1","0","0","0","1","11","43.5","4.0","73.9%"
"69","Dontayvion Wicks (GB)","41","26","307","11.8","30","3","2","1","6","0","0","10","43.3","4.3","2.7%"
"70","Sterling Shepard (TB)","50","37","361","9.8","36","5","1","4","19","0","1","11","42.0","3.8","3.3%"
"71","Luke McCaffrey (WAS)","15","11","203","18.5","50","3","3","0","0","0","0","9","40.3","4.5","2.1%"
"72","Calvin Austin III (PIT)","42","26","278","10.7","30","3","2","0","0","0","0","9","39.8","4.4","11.2%"
"73","Malik Nabers (NYG)","35","18","271","15.1","48","5","2","0","0","0","0","4","39.1","9.8","29.7%"
"74","Marvin Mims Jr. (DEN)","32","22","234","10.6","31","5","1","8","56","1","1","10","39.0","3.9","28.5%"
"75","Ryan Flournoy (DAL)","29","20","234","11.7","46","2","2","4","25","0","0","11","37.9","3.4","0.8%"
"76","DeAndre Hopkins (BAL)","29","17","257","15.1","41","4","2","0","0","0","0","12","37.7","3.1","4.4%"
"77","Luther Burden III (CHI)","28","22","295","13.4","65","5","1","3","21","0","0","10","37.6","3.8","12.4%"
"78","KaVontae Turpin (DAL)","28","19","260","13.7","48","3","1","12","63","0","1","10","36.3","3.6","3.5%"
"79","JuJu Smith-Schuster (KC)","33","26","299","11.5","30","3","1","0","0","0","0","12","35.9","3.0","1.8%"
"80","Travis Hunter (JAC)","45","28","298","10.6","44","5","1","1","0","0","0","7","35.8","5.1","74.6%"
"81","Darnell Mooney (ATL)","45","19","298","15.7","49","4","1","0","0","0","0","9","35.8","4.0","62.2%"
"82","Darius Slayton (NYG)","36","24","366","15.3","52","5","0","0","0","0","1","9","34.6","3.8","32.9%"
"83","Olamide Zaccheaus (CHI)","51","33","254","7.7","16","0","1","4","25","0","0","11","33.9","3.1","2.4%"
"84","Rashod Bateman (BAL)","32","16","194","12.1","36","3","2","0","0","0","0","10","33.4","3.3","14.0%"
"85","Matthew Golden (GB)","32","24","286","11.9","46","6","0","8","45","0","0","9","33.1","3.7","39.6%"
"86","Ricky Pearsall (SF)","35","23","333","14.5","45","6","0","2","-2","0","0","7","33.1","4.7","73.2%"
"87","Tyreek Hill (MIA)","29","21","265","12.6","47","4","1","0","0","0","0","4","32.5","8.1","47.9%"
"88","Dyami Brown (JAC)","36","19","219","11.5","39","2","1","5","26","0","0","10","30.5","3.1","2.0%"
"89","Calvin Ridley (TEN)","36","17","303","17.8","47","7","0","0","0","0","0","7","30.3","4.3","29.3%"
"90","Cedric Tillman (CLE)","31","17","174","10.2","26","3","2","0","0","0","0","7","29.4","4.2","10.9%"
"91","Pat Bryant (DEN)","25","15","231","15.4","48","3","1","0","0","0","0","11","29.1","2.6","2.1%"
"92","Jaylin Noel (HOU)","27","20","213","10.7","44","5","1","4","9","0","0","11","28.2","2.6","2.3%"
"93","Isaac TeSlaa (DET)","11","6","100","16.7","29","1","3","0","0","0","0","12","28.0","2.3","2.3%"
"94","Joshua Palmer (BUF)","29","18","272","15.1","45","4","0","0","0","0","0","8","27.2","3.4","5.5%"
"95","Jaylin Lane (WAS)","30","16","225","14.1","41","3","0","1","7","0","1","11","27.2","2.5","1.1%"
"96","Tyler Lockett (LV)","36","22","209","9.5","33","1","0","0","0","0","0","11","26.9","2.4","4.8%"
"97","Roman Wilson (PIT)","20","12","166","13.8","45","3","2","0","0","0","1","11","26.6","2.4","1.4%"
"98","Terry McLaurin (WAS)","21","13","203","15.6","56","2","1","0","0","0","0","4","26.3","6.6","85.5%"
"99","Chris Moore (WAS)","22","10","192","19.2","44","3","1","1","9","0","0","10","26.1","2.6","0.9%"
"100","Van Jefferson (TEN)","34","18","200","11.1","23","4","1","0","0","0","0","11","26.0","2.4","0.9%"
"101","Christian Kirk (HOU)","37","21","198","9.4","47","2","1","0","0","0","0","7","25.8","3.7","24.8%"
"102","Jahan Dotson (PHI)","18","10","194","19.4","51","4","1","0","0","0","0","11","25.4","2.3","1.2%"
"103","Jalen Tolbert (DAL)","25","14","172","12.3","35","2","1","0","0","0","0","11","25.2","2.3","1.7%"
"104","Tyler Johnson (NYJ)","16","10","187","18.7","35","5","1","0","0","0","0","9","24.7","2.7","0.6%"
"105","John Metchie III (NYJ)","15","14","131","9.4","22","1","2","1","-7","0","0","10","24.4","2.4","8.3%"
"106","Tyrell Shavers (BUF)","17","11","172","15.6","43","4","1","0","0","0","0","11","23.2","2.1","1.7%"
"107","Kalif Raymond (DET)","19","15","150","10.0","30","1","0","2","19","0","0","11","22.9","2.1","0.6%"
"108","Tutu Atwell (LAR)","9","4","164","41.0","88","3","1","0","0","0","0","6","22.4","3.7","1.5%"
"109","Mitch Tinsley (CIN)","21","7","100","14.3","27","1","2","0","0","0","0","12","22.0","1.8","0.7%"
"110","Devontez Walker (BAL)","6","4","90","22.5","34","3","2","0","0","0","0","7","21.0","3.0","0.6%"
"111","Hunter Renfrow (CAR)","26","15","89","5.9","15","0","2","0","0","0","0","6","20.9","3.5","1.0%"
"112","Tim Patrick (JAC)","14","7","83","11.9","26","2","2","0","0","0","0","10","20.3","2.0","1.1%"
"113","Mike Evans (TB)","31","14","140","10.0","22","1","1","0","0","0","0","4","20.0","5.0","69.7%"
"114","Isaiah Bond (CLE)","33","13","181","13.9","52","3","0","2","17","0","0","10","19.8","2.0","1.4%"
"115","Tre Harris (LAC)","20","16","137","8.6","24","1","1","0","0","0","0","11","19.7","1.8","4.1%"
"116","Elijah Moore (FA)","17","9","112","12.4","31","3","0","6","24","1","0","9","19.6","2.2","0.6%"
"117","Adonai Mitchell (NYJ)","29","12","204","17.0","75","2","0","0","0","0","1","10","18.4","1.8","3.8%"
"118","Zay Jones (ARI)","18","12","183","15.3","43","4","0","0","0","0","0","8","18.3","2.3","0.6%"
"119","Demarcus Robinson (SF)","24","13","163","12.5","31","2","0","0","0","0","0","9","18.3","2.0","1.1%"
"120","Jalen Coker (CAR)","19","14","150","10.7","22","2","0","0","0","0","0","6","17.0","2.8","4.8%"
"121","Kyle Williams (NE)","12","4","110","27.5","72","1","1","1","-2","0","0","12","16.8","1.4","2.8%"
"122","Brandin Cooks (BUF)","25","19","165","8.7","21","2","0","0","0","0","0","10","16.5","1.7","2.4%"
"123","Isaiah Hodgins (NYG)","12","7","99","14.1","30","2","1","0","0","0","0","2","15.9","8.0","2.5%"
"124","Jordan Whittington (LAR)","21","16","147","9.2","40","2","0","3","12","0","0","11","15.9","1.4","1.4%"
"125","Devaughn Vele (NO)","20","9","91","10.1","15","0","1","0","0","0","0","10","15.1","1.5","1.3%"
"126","Ashton Dulin (IND)","8","5","106","21.2","48","3","0","3","44","0","0","10","15.0","1.5","0.0%"
"127","Savion Williams (GB)","10","10","78","7.8","33","1","1","9","28","0","1","11","14.6","1.3","0.7%"
"128","Curtis Samuel (BUF)","9","7","81","11.6","21","2","1","0","0","0","0","6","14.1","2.4","1.1%"
"129","Gunner Olszewski (NYG)","3","1","24","24.0","24","1","1","0","0","0","0","12","13.7","1.1","0.1%"
"130","Kameron Johnson (TB)","6","4","64","16.0","34","1","1","2","13","0","0","11","13.7","1.2","0.2%"
"131","Brycen Tremayne (CAR)","15","12","133","11.1","26","2","0","0","0","0","0","11","13.3","1.2","0.0%"
"132","Jimmy Horn Jr. (CAR)","11","7","77","11.0","34","1","0","7","44","0","0","8","12.1","1.5","0.6%"
