Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Position,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,CMP,ATT,YDS,Y/A,TD,SACKS,ATT.1,YDS.1,TD.1,FL,20+,TGT,REC,Y/R
1.0,Houston Texans (HOU),33.0,12.0,7.0,8.0,2.0,0.0,0.0,11.0,112.0,10.2,82.3%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Los Angeles Rams (LAR),31.0,12.0,7.0,10.0,1.0,0.0,0.0,11.0,103.0,9.4,55.9%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Seattle Seahawks (SEA),36.0,9.0,4.0,3.0,2.0,0.0,2.0,11.0,102.0,9.3,92.9%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Cleveland Browns (CLE),42.0,9.0,6.0,10.0,2.0,0.0,0.0,11.0,96.0,8.7,68.1%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Pittsburgh Steelers (PIT),34.0,9.0,11.0,13.0,3.0,0.0,0.0,11.0,94.0,8.5,73.4%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,New England Patriots (NE),25.0,8.0,5.0,5.0,2.0,1.0,2.0,12.0,94.0,7.8,76.9%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Denver Broncos (DEN),49.0,6.0,3.0,5.0,0.0,0.0,0.0,11.0,91.0,8.3,91.8%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Indianapolis Colts (IND),33.0,11.0,5.0,5.0,1.0,0.0,0.0,11.0,87.0,7.9,37.7%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Jacksonville Jaguars (JAC),21.0,13.0,5.0,5.0,1.0,0.0,2.0,11.0,84.0,7.6,41.0%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Atlanta Falcons (ATL),39.0,9.0,6.0,10.0,0.0,0.0,0.0,11.0,82.0,7.5,34.9%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Philadelphia Eagles (PHI),22.0,7.0,5.0,8.0,1.0,0.0,2.0,11.0,80.0,7.3,72.3%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Arizona Cardinals (ARI),22.0,9.0,8.0,10.0,2.0,1.0,0.0,11.0,76.0,6.9,18.2%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Chicago Bears (CHI),23.0,16.0,8.0,9.0,1.0,0.0,0.0,11.0,74.0,6.7,18.0%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Tampa Bay Buccaneers (TB),27.0,10.0,6.0,7.0,2.0,1.0,0.0,11.0,73.0,6.6,25.9%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Green Bay Packers (GB),32.0,6.0,5.0,5.0,0.0,0.0,0.0,12.0,73.0,6.1,64.0%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Detroit Lions (DET),32.0,9.0,4.0,11.0,0.0,1.0,1.0,12.0,72.0,6.0,69.2%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,New Orleans Saints (NO),24.0,6.0,7.0,9.0,2.0,0.0,0.0,11.0,67.0,6.1,7.5%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Tennessee Titans (TEN),27.0,5.0,5.0,2.0,2.0,0.0,2.0,11.0,66.0,6.0,1.8%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Carolina Panthers (CAR),16.0,10.0,4.0,4.0,1.0,0.0,0.0,12.0,65.0,5.4,5.4%,DST,,,,,,,,,,,,,,,,,,,,,,,,,
