feature,importance
TD,0.17085813991858728
ATT,0.12271241875801
CMP,0.07529303288814024
G,0.06865001186897372
LG,0.0663894604539731
REC,0.06295747555935409
YDS.1,0.05558320471912955
TGT,0.04508946823294269
ATT.1,0.03588603861894474
PCT,0.03450576879467101
INT,0.033887738320060944
20+,0.028353599983509142
SACKS,0.024587761489553814
Y/A,0.020385375269980802
Y/R,0.014896701070975717
SACK,0.014594944553171483
FG,0.012649473005630933
TD.1,0.012484218833500135
Position_DST,0.012348442025951584
XPA,0.010692775089136958
FGA,0.010130969058440442
XPT,0.009357940828205886
FF,0.009239427533806688
FR,0.00839267590823093
30-39,0.007903401342940927
50+,0.005001822263143516
40-49,0.004376079634193913
Position_QB,0.004269526616523259
SPC TD,0.00407984195390873
20-29,0.003072683727762729
Position_RB,0.0028372570238254877
Position_K,0.002489787520692007
FL,0.002423017242310632
Position_TE,0.0014661543599695087
Position_WR,0.0010827433353019463
DEF TD,0.0009854659329656028
SFTY,8.51562635799516e-05
1-19,0.0
