feature,importance
TD,0.13032491459507797
ATT,0.12553181228613253
LG,0.07458550223944956
YDS.1,0.0718744883973906
REC,0.06554307231784433
CMP,0.05691032114756767
G,0.051953213216540235
TGT,0.049030647082842944
20+,0.03893736145386423
PCT,0.03872286406981409
ATT.1,0.03775470220451167
INT,0.03764326369556427
SACKS,0.03355036746026323
Y/A,0.027811759286578707
Y/R,0.01974941388658242
TD.1,0.014466904359988035
SACK,0.014189234067714138
FGA,0.01289930137942703
Position_DST,0.012341534013680147
XPA,0.011934827758988152
FG,0.011058198556791313
FF,0.010127139103044124
XPT,0.009135180081521681
FR,0.007492481296630417
30-39,0.006962368739522511
50+,0.005335587284601589
SPC TD,0.0041274079664122216
FL,0.0030861311008495815
Position_RB,0.0030567818149646164
20-29,0.0025753425029935695
Position_QB,0.0025244643770337668
40-49,0.0024297812319498554
DEF TD,0.0019520495003268494
Position_TE,0.0018180782737404803
Position_WR,0.0016896450593877072
Position_K,0.0005757662260296427
SFTY,0.0002980919643782239
1-19,0.0
