feature,importance
TD,0.19439722654328417
ATT,0.13522130859075743
G,0.08084164575278896
CMP,0.062116588779640575
LG,0.060543142531675365
REC,0.05400544523350587
YDS.1,0.05174897487028655
TGT,0.04609548695928629
ATT.1,0.035926518997577934
SACKS,0.032952908597213344
PCT,0.030845007766713013
INT,0.02727428484997622
20+,0.025692478043308528
Y/A,0.016331206792569553
Y/R,0.014438973834274359
Position_DST,0.013996372401920936
FG,0.013601096335429377
SACK,0.013140009712634617
FGA,0.013084904527675991
XPA,0.0101192062648841
TD.1,0.009386032993228327
XPT,0.00866928363834344
FF,0.007917803622980116
30-39,0.007394056025779795
FR,0.006068003577009929
SPC TD,0.005114355754998736
Position_QB,0.004597865844004756
40-49,0.003662771622969809
Position_K,0.0033162621529753563
50+,0.0027189113096093877
Position_RB,0.0022752137706759383
FL,0.0018309798495989348
20-29,0.001800202039889129
Position_TE,0.0010412810319813891
Position_WR,0.0010021349908934112
DEF TD,0.000724845783087218
SFTY,0.00010720860657105316
1-19,0.0
