feature,importance
TD,0.5807736791429701
LG,0.1335711680506869
ATT,0.04848637683263887
G,0.04515443921621192
REC,0.041786027304825946
SACK,0.02760724608941739
INT,0.020610850592729154
FG,0.015108671176522537
CMP,0.013292365252526316
Position_DST,0.01204437793112923
YDS.1,0.011858514361256303
TGT,0.00822756979529438
TD.1,0.005465084182615395
FGA,0.004618822824462626
ATT.1,0.003803104950953618
Y/A,0.0037054980160073636
Y/R,0.0035910254747431795
FF,0.003138272402437042
FR,0.0031325355996797664
20+,0.002788238911805941
PCT,0.0025435794304671236
SPC TD,0.002013142672100374
XPA,0.0009812859320431444
Position_RB,0.0009804478088167093
Position_TE,0.0006982158511379834
DEF TD,0.0005774532110060787
SACKS,0.00056122827255176
FL,0.0005105741606734704
XPT,0.0004920478423701799
Position_WR,0.0003195989923134239
40-49,0.0003132415413401286
50+,0.000312559574247237
Position_K,0.00029567485387924975
30-39,0.00027301326873535006
20-29,0.00023574576611135175
Position_QB,7.425305965904266e-05
SFTY,5.406965363365783e-05
1-19,0.0
